disruption_type,industry,supplier_tier,supplier_region,supplier_size,has_backup_supplier,disruption_severity,production_impact_pct,revenue_loss_usd,response_type,response_time_days,partial_recovery_days,full_recovery_days,permanent_supplier_change,severity_impact
Port Congestion,Consumer Goods,1,North America,Large,1,1,3.2,260073.33,Alternative Supplier,2,3,26,0,3.2
Port Congestion,Consumer Goods,1,Europe,Large,1,1,19.6,6474592.98,Alternative Supplier,1,15,20,0,19.6
Factory Incident,Aerospace,4,Asia-Pacific,Small,0,3,17.3,852744.96,Alternative Supplier,1,16,64,0,51.900000000000006
Port Congestion,Consumer Goods,2,Europe,Medium,0,1,2.6,25421.11,Production Reroute,9,41,57,0,2.6
Natural Disaster,Consumer Goods,2,Europe,Medium,0,5,48.6,958073.4,Production Reroute,1,62,67,1,243.0
Labor Strike,Automotive,1,Europe,Medium,1,1,19.1,588093.84,Alternative Supplier,5,3,39,0,19.1
Natural Disaster,Electronics,1,Asia-Pacific,Medium,0,1,8.4,365201.55,Production Reroute,8,19,39,0,8.4
Geopolitical,Electronics,3,North America,Small,1,3,26.2,1395265.18,Alternative Supplier,15,58,78,1,78.6
Factory Incident,Electronics,2,Asia-Pacific,Large,1,3,57.6,2559657.06,Alternative Supplier,1,19,31,0,172.8
Factory Incident,Consumer Goods,3,Europe,Small,1,3,37.5,81886.24,Alternative Supplier,1,35,67,0,112.5
Port Congestion,Pharmaceuticals,4,Asia-Pacific,Medium,1,2,27.7,721573.8,Inventory Buffer,1,13,56,0,55.4
Factory Incident,Consumer Goods,3,Asia-Pacific,Medium,1,3,27.5,803298.32,Alternative Supplier,5,17,50,0,82.5
Factory Incident,Automotive,1,Africa/Middle East,Small,1,2,11.4,69366.33,Alternative Supplier,2,20,35,0,22.8
Geopolitical,Automotive,3,Asia-Pacific,Medium,0,3,29.5,1559750.75,Inventory Buffer,3,76,87,0,88.5
Factory Incident,Aerospace,3,Asia-Pacific,Large,1,2,13.9,3883314.92,Combined Strategy,2,8,35,0,27.8
Geopolitical,Automotive,4,Europe,Medium,1,4,42.3,3036475.22,Alternative Supplier,13,59,166,1,169.2
Natural Disaster,Consumer Goods,2,Europe,Large,1,5,71.3,1513882.63,Combined Strategy,1,42,73,1,356.5
Port Congestion,Electronics,2,Asia-Pacific,Small,0,1,13.3,45201.62,Customer Delay,1,17,100,0,13.3
Port Congestion,Electronics,3,North America,Large,1,1,4.7,887685.82,Alternative Supplier,3,4,24,0,4.7
Port Congestion,Consumer Goods,3,Asia-Pacific,Small,0,2,18.8,215500.43,Customer Delay,9,32,58,0,37.6
Labor Strike,Aerospace,2,Asia-Pacific,Medium,1,3,48.0,2880890.71,Alternative Supplier,5,40,88,0,144.0
Factory Incident,Electronics,3,Europe,Medium,1,1,12.5,589615.39,Alternative Supplier,1,9,23,0,12.5
Cyber Attack,Electronics,3,Asia-Pacific,Medium,0,3,33.6,615569.53,Inventory Buffer,2,14,167,0,100.80000000000001
Labor Strike,Electronics,3,Asia-Pacific,Small,1,1,21.0,239759.94,Alternative Supplier,1,4,9,0,21.0
Labor Strike,Pharmaceuticals,1,Asia-Pacific,Medium,0,1,38.3,2945971.63,Customer Delay,9,4,17,1,38.3
Natural Disaster,Consumer Goods,3,Asia-Pacific,Medium,0,3,28.2,276870.23,Alternative Supplier,3,45,93,1,84.6
Factory Incident,Electronics,2,North America,Medium,0,2,17.3,512102.74,Combined Strategy,10,30,41,0,34.6
Factory Incident,Automotive,3,North America,Small,0,3,40.0,330220.5,Combined Strategy,1,12,84,0,120.0
Factory Incident,Electronics,4,South America,Small,0,1,1.0,16677.94,Inventory Buffer,12,11,68,1,1.0
Labor Strike,Consumer Goods,3,Asia-Pacific,Medium,0,2,14.9,328462.09,Customer Delay,9,3,22,0,29.8
Labor Strike,Consumer Goods,3,Asia-Pacific,Large,0,2,12.2,799839.34,Customer Delay,3,57,103,0,24.4
Port Congestion,Electronics,2,Asia-Pacific,Small,0,1,25.0,202069.93,Inventory Buffer,9,11,22,0,25.0
Port Congestion,Automotive,4,North America,Medium,0,1,1.5,17504.4,Customer Delay,10,6,36,0,1.5
Port Congestion,Pharmaceuticals,1,Europe,Small,0,3,38.6,135993.01,Production Reroute,1,45,188,0,115.80000000000001
Port Congestion,Pharmaceuticals,1,North America,Large,0,2,15.0,1069052.15,Production Reroute,1,53,130,0,30.0
Cyber Attack,Aerospace,4,Asia-Pacific,Small,1,3,18.4,648393.42,Alternative Supplier,21,7,27,0,55.199999999999996
Natural Disaster,Electronics,4,Asia-Pacific,Large,1,4,36.1,1327695.37,Alternative Supplier,1,27,68,0,144.4
Geopolitical,Consumer Goods,1,South America,Medium,1,1,6.2,182335.3,Customer Delay,8,16,21,0,6.2
Natural Disaster,Pharmaceuticals,1,Europe,Medium,1,2,28.2,560056.8,Inventory Buffer,3,38,102,0,56.4
Port Congestion,Consumer Goods,2,Asia-Pacific,Medium,0,1,13.1,1152104.8,Production Reroute,1,11,43,0,13.1
Cyber Attack,Automotive,2,Europe,Small,1,5,67.9,658800.07,Alternative Supplier,1,38,173,0,339.5
Geopolitical,Consumer Goods,3,North America,Medium,0,2,2.3,80418.6,Inventory Buffer,1,3,16,0,4.6
Cyber Attack,Electronics,1,Europe,Small,0,2,45.4,186093.56,Inventory Buffer,2,45,65,0,90.8
Natural Disaster,Consumer Goods,3,North America,Large,0,3,35.0,3881127.12,Customer Delay,1,15,112,0,105.0
Cyber Attack,Automotive,2,Asia-Pacific,Large,1,3,45.9,27486759.8,Alternative Supplier,1,58,142,0,137.7
Factory Incident,Electronics,4,Asia-Pacific,Small,0,2,11.0,152403.28,Customer Delay,1,30,79,0,22.0
Natural Disaster,Electronics,1,Asia-Pacific,Medium,0,3,34.6,739307.56,Alternative Supplier,11,4,12,0,103.80000000000001
Labor Strike,Pharmaceuticals,4,North America,Medium,0,2,22.6,3735967.42,Production Reroute,12,11,19,0,45.2
Geopolitical,Electronics,3,Asia-Pacific,Large,0,3,26.0,9017858.39,Inventory Buffer,13,18,121,1,78.0
Geopolitical,Automotive,3,Africa/Middle East,Small,0,2,13.5,180808.6,Combined Strategy,5,55,98,0,27.0
Geopolitical,Aerospace,3,Asia-Pacific,Small,1,3,40.3,1623912.59,Production Reroute,1,45,104,0,120.89999999999999
Port Congestion,Aerospace,2,South America,Medium,1,2,33.3,2381129.06,Alternative Supplier,1,13,27,0,66.6
Labor Strike,Automotive,2,South America,Medium,1,2,23.5,5672989.79,Alternative Supplier,1,7,26,0,47.0
Geopolitical,Electronics,2,Asia-Pacific,Small,0,3,38.8,185822.82,Combined Strategy,17,15,55,0,116.39999999999999
Port Congestion,Consumer Goods,3,North America,Large,0,1,9.0,111609.94,Customer Delay,11,35,42,0,9.0
Port Congestion,Consumer Goods,2,Asia-Pacific,Large,0,2,25.7,455808.6,Production Reroute,15,39,121,1,51.4
Geopolitical,Aerospace,3,Asia-Pacific,Large,1,2,5.5,8301188.58,Alternative Supplier,1,23,49,0,11.0
Factory Incident,Aerospace,2,Europe,Medium,0,3,38.9,1238057.86,Combined Strategy,6,32,182,1,116.69999999999999
Natural Disaster,Consumer Goods,1,Africa/Middle East,Small,1,3,56.6,81340.94,Production Reroute,1,53,77,0,169.8
Geopolitical,Pharmaceuticals,2,Europe,Medium,0,4,32.6,6181283.86,Production Reroute,7,11,19,0,130.4
Port Congestion,Electronics,2,Europe,Small,0,1,27.1,262239.78,Production Reroute,12,5,10,0,27.1
Geopolitical,Electronics,1,Africa/Middle East,Large,1,2,28.8,4817983.03,Alternative Supplier,1,4,45,0,57.6
Labor Strike,Consumer Goods,3,Europe,Medium,0,1,1.0,37082.21,Customer Delay,8,20,56,0,1.0
Port Congestion,Automotive,3,Europe,Medium,1,4,32.2,1472658.02,Alternative Supplier,4,46,139,0,128.8
Natural Disaster,Consumer Goods,2,Europe,Large,1,2,40.4,1241690.71,Customer Delay,3,3,35,0,80.8
Labor Strike,Consumer Goods,1,Asia-Pacific,Large,1,2,29.2,1765453.93,Alternative Supplier,3,3,37,1,58.4
Geopolitical,Automotive,3,Europe,Large,1,5,38.5,10102354.39,Alternative Supplier,3,31,114,1,192.5
Cyber Attack,Consumer Goods,1,Asia-Pacific,Small,0,4,61.2,362989.78,Combined Strategy,2,30,92,0,244.8
Labor Strike,Consumer Goods,4,North America,Large,1,2,11.7,114620.43,Alternative Supplier,1,14,32,0,23.4
Port Congestion,Automotive,3,North America,Large,1,1,18.7,1533195.45,Alternative Supplier,3,10,15,0,18.7
Labor Strike,Aerospace,3,Asia-Pacific,Small,1,3,42.5,791668.19,Customer Delay,1,41,95,1,127.5
Natural Disaster,Electronics,2,Asia-Pacific,Small,0,3,26.9,246760.68,Production Reroute,40,15,129,0,80.69999999999999
Port Congestion,Electronics,2,North America,Medium,0,3,21.2,162342.81,Production Reroute,1,78,100,0,63.599999999999994
Cyber Attack,Pharmaceuticals,2,Asia-Pacific,Small,0,5,68.4,2458994.29,Combined Strategy,8,13,148,0,342.0
Port Congestion,Automotive,1,North America,Medium,1,3,61.2,1165020.18,Alternative Supplier,5,22,106,0,183.60000000000002
Port Congestion,Pharmaceuticals,2,Europe,Small,1,2,13.9,269397.86,Alternative Supplier,6,19,82,1,27.8
Cyber Attack,Consumer Goods,2,Europe,Small,0,4,46.5,258159.13,Combined Strategy,7,121,157,0,186.0
Geopolitical,Electronics,1,Africa/Middle East,Small,0,2,18.2,373715.54,Inventory Buffer,1,9,82,0,36.4
Geopolitical,Electronics,2,Asia-Pacific,Medium,0,1,5.9,532342.0,Inventory Buffer,8,26,39,0,5.9
Port Congestion,Aerospace,4,Asia-Pacific,Medium,0,3,26.6,2309832.4,Production Reroute,20,13,102,0,79.80000000000001
Factory Incident,Electronics,3,Europe,Small,0,2,9.7,44690.77,Inventory Buffer,1,63,82,0,19.4
Port Congestion,Pharmaceuticals,1,Africa/Middle East,Large,0,2,15.1,5536872.19,Production Reroute,1,6,54,1,30.2
Cyber Attack,Consumer Goods,2,Asia-Pacific,Large,1,3,30.5,1044002.66,Alternative Supplier,1,64,90,0,91.5
Factory Incident,Consumer Goods,1,Asia-Pacific,Small,0,1,8.9,102307.76,Production Reroute,4,11,20,0,8.9
Geopolitical,Electronics,3,Asia-Pacific,Small,0,2,12.6,176936.81,Customer Delay,15,16,110,0,25.2
Port Congestion,Automotive,3,Asia-Pacific,Medium,0,3,39.2,2986317.0,Production Reroute,1,28,159,1,117.60000000000001
Geopolitical,Electronics,4,Africa/Middle East,Medium,0,4,37.5,342148.77,Combined Strategy,3,54,211,0,150.0
Port Congestion,Automotive,1,Asia-Pacific,Medium,0,3,33.2,1287969.27,Production Reroute,6,8,117,0,99.60000000000001
Factory Incident,Electronics,2,Asia-Pacific,Small,0,1,14.5,90255.83,Customer Delay,6,15,20,1,14.5
Port Congestion,Electronics,3,Africa/Middle East,Large,1,1,11.3,2180163.87,Inventory Buffer,7,4,13,0,11.3
Natural Disaster,Consumer Goods,3,Asia-Pacific,Medium,1,2,16.8,99582.05,Alternative Supplier,1,24,29,0,33.6
Port Congestion,Consumer Goods,1,Asia-Pacific,Large,1,2,53.6,3632191.79,Alternative Supplier,5,8,37,0,107.2
Labor Strike,Automotive,1,North America,Medium,0,2,17.9,525320.27,Alternative Supplier,5,33,74,0,35.8
Labor Strike,Electronics,1,North America,Medium,0,2,49.5,1902111.35,Customer Delay,1,68,80,0,99.0
Geopolitical,Pharmaceuticals,3,Europe,Large,0,3,19.9,1309823.82,Inventory Buffer,3,34,87,1,59.699999999999996
Port Congestion,Pharmaceuticals,1,Europe,Medium,1,1,10.7,5367025.56,Customer Delay,1,20,26,0,10.7
Cyber Attack,Electronics,1,Asia-Pacific,Medium,0,3,56.1,2946327.7,Inventory Buffer,16,19,45,0,168.3
Geopolitical,Aerospace,3,North America,Small,0,2,33.9,1022047.14,Customer Delay,13,37,108,0,67.8
Natural Disaster,Pharmaceuticals,2,Europe,Medium,1,1,23.6,1691820.02,Alternative Supplier,13,7,31,0,23.6
Natural Disaster,Automotive,3,Asia-Pacific,Medium,1,2,33.6,1395564.05,Alternative Supplier,5,9,52,0,67.2
Port Congestion,Aerospace,2,North America,Small,1,2,10.8,607983.0,Alternative Supplier,12,8,62,0,21.6
Port Congestion,Electronics,3,Asia-Pacific,Small,0,3,39.2,398084.0,Production Reroute,7,5,225,1,117.60000000000001
Labor Strike,Pharmaceuticals,2,North America,Small,0,2,29.0,628136.32,Alternative Supplier,4,26,62,0,58.0
Geopolitical,Consumer Goods,1,North America,Medium,1,2,27.3,494736.94,Alternative Supplier,1,3,57,0,54.6
Factory Incident,Automotive,3,North America,Large,1,1,15.6,2416217.76,Alternative Supplier,1,24,49,0,15.6
Labor Strike,Electronics,2,South America,Medium,0,2,31.0,4399761.12,Combined Strategy,6,49,87,0,62.0
Labor Strike,Consumer Goods,4,Asia-Pacific,Small,0,3,26.5,132914.41,Customer Delay,2,9,136,1,79.5
Cyber Attack,Consumer Goods,3,Asia-Pacific,Medium,0,2,19.0,384451.78,Alternative Supplier,1,3,13,0,38.0
Natural Disaster,Electronics,3,Europe,Large,0,3,39.6,4594269.42,Inventory Buffer,1,22,82,0,118.80000000000001
Port Congestion,Pharmaceuticals,1,Asia-Pacific,Small,0,1,1.0,16104.42,Production Reroute,17,3,57,1,1.0
Factory Incident,Automotive,2,Asia-Pacific,Medium,1,2,27.0,4063568.29,Alternative Supplier,1,23,70,0,54.0
Factory Incident,Automotive,3,Asia-Pacific,Medium,0,1,18.5,1089333.9,Production Reroute,1,6,42,0,18.5
Port Congestion,Automotive,4,Africa/Middle East,Large,1,3,14.5,686621.15,Inventory Buffer,1,52,80,0,43.5
Port Congestion,Pharmaceuticals,3,Asia-Pacific,Medium,0,4,39.4,1094952.7,Production Reroute,2,4,146,1,157.6
Cyber Attack,Pharmaceuticals,1,North America,Small,1,3,37.8,253993.05,Alternative Supplier,11,59,168,1,113.39999999999999
Natural Disaster,Aerospace,4,North America,Small,0,3,38.3,958342.94,Alternative Supplier,4,38,71,0,114.89999999999999
Natural Disaster,Consumer Goods,3,Asia-Pacific,Small,1,3,33.0,135550.47,Alternative Supplier,4,23,131,1,99.0
Port Congestion,Electronics,3,Europe,Small,1,1,13.6,104496.05,Production Reroute,2,6,26,0,13.6
Labor Strike,Consumer Goods,3,Asia-Pacific,Medium,1,3,42.1,1965617.45,Production Reroute,4,30,51,0,126.30000000000001
Geopolitical,Automotive,1,Asia-Pacific,Small,1,2,36.7,736918.17,Alternative Supplier,2,27,59,0,73.4
Natural Disaster,Automotive,2,Europe,Medium,1,4,38.2,3493779.95,Alternative Supplier,6,119,160,1,152.8
Natural Disaster,Electronics,1,North America,Medium,0,2,31.5,466951.88,Inventory Buffer,22,15,40,0,63.0
Cyber Attack,Automotive,1,South America,Medium,0,5,78.1,5294586.24,Combined Strategy,1,38,93,1,390.5
Geopolitical,Electronics,3,Africa/Middle East,Small,0,4,34.0,154523.08,Combined Strategy,16,21,54,0,136.0
Geopolitical,Electronics,3,Asia-Pacific,Large,0,2,24.4,4154962.99,Customer Delay,1,26,54,0,48.8
Geopolitical,Electronics,2,South America,Medium,0,4,42.6,2328613.35,Combined Strategy,1,36,111,0,170.4
Factory Incident,Pharmaceuticals,2,Europe,Small,0,1,12.3,316390.73,Inventory Buffer,2,3,9,0,12.3
Natural Disaster,Electronics,1,Asia-Pacific,Medium,1,3,49.4,2106872.76,Alternative Supplier,1,11,16,0,148.2
Labor Strike,Aerospace,2,North America,Large,1,4,42.4,5327603.99,Combined Strategy,1,43,181,1,169.6
Natural Disaster,Electronics,1,Europe,Small,0,1,19.2,176857.56,Production Reroute,1,7,37,1,19.2
Port Congestion,Consumer Goods,2,Europe,Medium,1,3,33.3,209397.91,Alternative Supplier,1,44,100,0,99.89999999999999
Geopolitical,Consumer Goods,3,Europe,Small,1,3,34.1,115220.02,Alternative Supplier,1,27,101,0,102.30000000000001
Labor Strike,Automotive,3,Asia-Pacific,Large,1,3,47.2,8119897.43,Alternative Supplier,2,12,57,0,141.60000000000002
Cyber Attack,Electronics,2,North America,Medium,1,4,44.9,1591570.02,Combined Strategy,3,9,39,1,179.6
Port Congestion,Consumer Goods,3,Africa/Middle East,Small,0,2,25.8,97613.73,Production Reroute,8,24,67,0,51.6
Labor Strike,Aerospace,3,North America,Small,1,3,51.3,872922.4,Inventory Buffer,1,51,60,0,153.89999999999998
Geopolitical,Pharmaceuticals,4,Asia-Pacific,Small,0,3,26.8,385811.34,Combined Strategy,1,65,95,0,80.4
Factory Incident,Aerospace,3,Asia-Pacific,Large,0,1,3.5,401411.41,Inventory Buffer,9,22,28,0,3.5
Port Congestion,Pharmaceuticals,2,Asia-Pacific,Medium,1,3,37.7,20595095.8,Production Reroute,1,37,68,1,113.10000000000001
Cyber Attack,Automotive,2,Asia-Pacific,Small,1,3,28.9,404090.78,Alternative Supplier,4,22,103,0,86.69999999999999
Port Congestion,Pharmaceuticals,3,Asia-Pacific,Medium,1,2,20.3,1364332.02,Alternative Supplier,2,25,49,1,40.6
Labor Strike,Consumer Goods,3,Asia-Pacific,Small,0,3,12.6,145893.93,Customer Delay,6,121,215,0,37.8
Port Congestion,Pharmaceuticals,1,Europe,Small,1,3,50.6,1044032.65,Inventory Buffer,3,60,125,1,151.8
Labor Strike,Automotive,1,North America,Medium,0,1,3.9,44873.92,Inventory Buffer,6,5,26,0,3.9
Natural Disaster,Automotive,2,South America,Small,1,3,28.5,282159.21,Alternative Supplier,1,55,77,1,85.5
Labor Strike,Pharmaceuticals,4,Africa/Middle East,Large,1,2,15.9,5434749.34,Alternative Supplier,1,5,32,0,31.8
Cyber Attack,Electronics,1,Asia-Pacific,Large,1,5,73.9,10102781.95,Production Reroute,2,89,102,0,369.5
Geopolitical,Automotive,2,Asia-Pacific,Large,1,2,34.8,5007408.03,Combined Strategy,2,13,18,0,69.6
Port Congestion,Consumer Goods,1,Asia-Pacific,Large,1,2,24.4,1426166.73,Production Reroute,1,17,45,0,48.8
Geopolitical,Automotive,2,Asia-Pacific,Large,1,2,4.7,1640586.66,Alternative Supplier,1,34,43,0,9.4
Labor Strike,Automotive,1,Europe,Small,0,1,12.9,282772.55,Customer Delay,6,19,61,0,12.9
Natural Disaster,Aerospace,1,Europe,Medium,0,5,68.3,7878166.31,Production Reroute,14,26,127,0,341.5
Labor Strike,Electronics,2,Asia-Pacific,Small,0,4,60.6,1049734.52,Production Reroute,1,76,171,1,242.4
Port Congestion,Automotive,2,North America,Large,1,2,29.8,7440010.72,Alternative Supplier,2,26,61,0,59.6
Factory Incident,Automotive,2,Africa/Middle East,Small,1,4,62.5,1503502.67,Alternative Supplier,1,26,63,0,250.0
Port Congestion,Aerospace,3,Asia-Pacific,Medium,0,1,18.4,2924056.2,Production Reroute,10,9,41,0,18.4
Port Congestion,Electronics,2,Asia-Pacific,Medium,0,2,29.9,900597.63,Production Reroute,1,16,31,0,59.8
Cyber Attack,Pharmaceuticals,3,Africa/Middle East,Small,0,2,27.9,421408.8,Production Reroute,4,51,121,1,55.8
Geopolitical,Electronics,1,North America,Small,0,2,21.6,313700.55,Customer Delay,1,35,102,0,43.2
Factory Incident,Automotive,2,Asia-Pacific,Medium,1,1,4.0,370594.63,Alternative Supplier,1,3,8,0,4.0
Geopolitical,Consumer Goods,4,Europe,Medium,1,2,5.9,84063.29,Inventory Buffer,7,19,36,0,11.8
Cyber Attack,Aerospace,1,Asia-Pacific,Medium,1,2,47.2,4187249.07,Alternative Supplier,1,14,27,0,94.4
Cyber Attack,Aerospace,1,South America,Large,1,4,54.8,49649996.79,Alternative Supplier,1,85,186,0,219.2
Labor Strike,Automotive,3,Europe,Medium,1,2,18.0,1769707.61,Alternative Supplier,1,63,68,0,36.0
Port Congestion,Automotive,3,Europe,Small,1,2,13.4,390950.8,Alternative Supplier,1,24,46,0,26.8
Labor Strike,Consumer Goods,1,Asia-Pacific,Small,1,2,21.9,55123.04,Alternative Supplier,5,31,49,0,43.8
Port Congestion,Automotive,1,Europe,Medium,1,3,37.5,1215628.11,Alternative Supplier,1,10,28,0,112.5
Natural Disaster,Pharmaceuticals,2,Africa/Middle East,Medium,0,4,63.1,6004060.71,Production Reroute,13,110,127,0,252.4
Port Congestion,Pharmaceuticals,3,North America,Small,0,4,38.5,462265.61,Production Reroute,2,114,140,0,154.0
Natural Disaster,Pharmaceuticals,2,Africa/Middle East,Small,1,3,28.7,885082.99,Alternative Supplier,5,24,50,0,86.1
Port Congestion,Automotive,2,Europe,Medium,0,2,36.5,128762.4,Inventory Buffer,2,62,196,0,73.0
Port Congestion,Electronics,2,Africa/Middle East,Medium,0,3,40.2,637826.84,Production Reroute,9,52,221,1,120.60000000000001
Port Congestion,Electronics,3,North America,Large,1,1,9.4,2732952.59,Alternative Supplier,1,3,11,0,9.4
Natural Disaster,Automotive,4,Europe,Small,0,5,44.6,510524.13,Production Reroute,2,108,153,1,223.0
Geopolitical,Aerospace,2,Africa/Middle East,Medium,0,2,3.2,179149.05,Combined Strategy,3,49,92,1,6.4
Geopolitical,Consumer Goods,3,Asia-Pacific,Large,1,3,34.2,2559575.78,Customer Delay,8,40,84,0,102.60000000000001
Factory Incident,Automotive,1,Asia-Pacific,Medium,0,2,36.9,1521952.24,Combined Strategy,6,6,25,1,73.8
Natural Disaster,Pharmaceuticals,1,Africa/Middle East,Medium,0,4,54.4,1496517.37,Production Reroute,11,83,123,1,217.6
Cyber Attack,Electronics,3,Asia-Pacific,Small,1,3,27.9,65036.44,Alternative Supplier,3,20,81,0,83.69999999999999
Labor Strike,Electronics,4,Europe,Large,1,1,1.0,75593.28,Alternative Supplier,2,21,52,0,1.0
Geopolitical,Electronics,1,Asia-Pacific,Large,0,3,52.8,30488925.89,Customer Delay,3,16,86,1,158.39999999999998
Factory Incident,Pharmaceuticals,1,North America,Large,1,2,14.8,5463813.01,Inventory Buffer,1,13,22,0,29.6
Factory Incident,Aerospace,1,Europe,Small,0,3,40.4,1274164.9,Customer Delay,18,69,83,0,121.19999999999999
Port Congestion,Consumer Goods,3,North America,Medium,0,1,7.1,548241.6,Inventory Buffer,3,11,19,0,7.1
Labor Strike,Electronics,4,North America,Small,0,2,1.0,10000.0,Alternative Supplier,13,12,24,1,2.0
Cyber Attack,Consumer Goods,1,North America,Medium,0,2,26.8,1423333.28,Alternative Supplier,18,4,24,0,53.6
Labor Strike,Electronics,1,Europe,Large,0,2,14.1,1083489.13,Inventory Buffer,5,11,49,0,28.2
Cyber Attack,Electronics,1,Asia-Pacific,Small,0,4,43.5,782232.09,Combined Strategy,5,28,72,1,174.0
Cyber Attack,Electronics,1,Asia-Pacific,Medium,0,3,57.8,1573529.81,Combined Strategy,6,18,52,1,173.39999999999998
Geopolitical,Automotive,3,North America,Large,1,2,29.1,6826772.79,Alternative Supplier,1,9,61,0,58.2
Cyber Attack,Automotive,1,Asia-Pacific,Medium,0,4,43.5,6356751.94,Production Reroute,5,101,130,1,174.0
Natural Disaster,Pharmaceuticals,4,Asia-Pacific,Medium,0,2,18.8,9782937.37,Customer Delay,6,26,62,0,37.6
Port Congestion,Consumer Goods,3,Asia-Pacific,Medium,1,1,18.2,115499.54,Inventory Buffer,3,3,39,0,18.2
Factory Incident,Automotive,2,Europe,Large,0,3,25.0,714622.62,Combined Strategy,8,50,113,0,75.0
Cyber Attack,Electronics,3,Asia-Pacific,Large,0,3,26.0,916982.69,Production Reroute,4,52,59,1,78.0
Cyber Attack,Automotive,3,North America,Large,0,3,31.1,2239242.06,Customer Delay,14,24,76,0,93.30000000000001
Port Congestion,Pharmaceuticals,4,Europe,Small,0,3,12.5,238360.88,Production Reroute,2,126,155,0,37.5
Port Congestion,Consumer Goods,1,Asia-Pacific,Small,0,2,37.3,74223.57,Inventory Buffer,2,5,30,1,74.6
Geopolitical,Aerospace,3,North America,Large,1,4,50.9,28240988.78,Alternative Supplier,1,39,66,0,203.6
Natural Disaster,Consumer Goods,3,Europe,Medium,1,2,27.1,354380.82,Alternative Supplier,7,3,26,0,54.2
Factory Incident,Consumer Goods,2,North America,Medium,0,4,52.9,1306842.0,Production Reroute,6,47,65,1,211.6
Geopolitical,Pharmaceuticals,2,Europe,Large,0,3,31.2,8231749.96,Inventory Buffer,1,21,33,0,93.6
Port Congestion,Automotive,4,North America,Medium,0,1,2.4,72966.93,Production Reroute,1,5,14,0,2.4
Factory Incident,Consumer Goods,3,Europe,Large,0,2,19.9,193845.38,Production Reroute,1,35,46,0,39.8
Cyber Attack,Consumer Goods,1,Europe,Large,1,4,85.3,1995344.71,Alternative Supplier,1,49,59,0,341.2
Port Congestion,Automotive,1,Asia-Pacific,Large,0,3,56.8,11513554.53,Inventory Buffer,11,17,56,0,170.39999999999998
Port Congestion,Automotive,3,North America,Medium,1,2,25.3,407938.01,Alternative Supplier,3,14,33,1,50.6
Natural Disaster,Automotive,2,South America,Medium,0,4,42.0,1123426.65,Combined Strategy,4,35,117,0,168.0
Cyber Attack,Electronics,2,South America,Medium,1,3,38.6,1953156.11,Alternative Supplier,2,28,48,0,115.80000000000001
Cyber Attack,Electronics,1,South America,Medium,1,4,67.1,2133101.22,Production Reroute,3,22,27,0,268.4
Labor Strike,Aerospace,4,Europe,Large,1,2,26.1,13124645.06,Customer Delay,1,26,37,0,52.2
Port Congestion,Automotive,1,South America,Medium,1,2,35.4,5703728.1,Production Reroute,2,13,72,0,70.8
Port Congestion,Electronics,3,Asia-Pacific,Large,0,1,13.3,2194302.51,Production Reroute,9,3,13,0,13.3
Geopolitical,Consumer Goods,1,Europe,Medium,1,2,28.1,825652.67,Alternative Supplier,1,19,28,1,56.2
Labor Strike,Aerospace,1,South America,Large,0,1,3.2,3444224.99,Combined Strategy,5,11,20,0,3.2
Factory Incident,Consumer Goods,4,Europe,Small,1,4,50.9,124685.69,Alternative Supplier,1,45,65,1,203.6
Natural Disaster,Aerospace,2,Asia-Pacific,Medium,0,5,65.3,4185749.79,Combined Strategy,11,4,115,0,326.5
Factory Incident,Automotive,2,North America,Medium,0,3,36.2,1540510.72,Inventory Buffer,2,41,78,0,108.60000000000001
Natural Disaster,Consumer Goods,1,Asia-Pacific,Medium,0,4,73.6,137448.51,Production Reroute,6,23,49,0,294.4
Natural Disaster,Electronics,2,Africa/Middle East,Large,1,4,48.9,7738231.5,Alternative Supplier,4,53,197,1,195.6
Natural Disaster,Pharmaceuticals,1,Asia-Pacific,Small,1,3,45.9,1071720.29,Alternative Supplier,5,19,37,0,137.7
Cyber Attack,Electronics,1,Europe,Small,0,3,38.6,341558.04,Alternative Supplier,9,17,205,0,115.80000000000001
Labor Strike,Pharmaceuticals,4,Asia-Pacific,Small,0,2,13.7,506454.08,Inventory Buffer,2,13,63,0,27.4
Cyber Attack,Electronics,1,Europe,Large,0,3,35.0,1638427.24,Combined Strategy,11,14,38,0,105.0
Factory Incident,Pharmaceuticals,1,Europe,Small,0,3,52.5,1183786.58,Combined Strategy,1,5,157,0,157.5
Geopolitical,Electronics,2,Europe,Large,1,3,40.8,3445244.03,Customer Delay,13,126,228,0,122.39999999999999
Labor Strike,Electronics,3,Asia-Pacific,Medium,1,2,28.4,238041.71,Alternative Supplier,1,34,42,0,56.8
Factory Incident,Electronics,1,North America,Small,1,4,42.5,853515.7,Alternative Supplier,1,4,59,0,170.0
Natural Disaster,Automotive,3,Asia-Pacific,Small,0,3,34.4,315764.14,Production Reroute,9,60,154,0,103.19999999999999
Port Congestion,Automotive,1,Asia-Pacific,Large,1,1,17.2,2734827.5,Alternative Supplier,2,3,11,0,17.2
Geopolitical,Aerospace,2,Asia-Pacific,Large,1,2,22.2,9715973.03,Combined Strategy,1,4,30,0,44.4
Port Congestion,Electronics,1,Africa/Middle East,Small,1,2,28.2,411909.3,Production Reroute,1,12,72,1,56.4
